Tidb,,,,,,,,,,Oracle,,,,,,,,,Compare
PAN,AMOUNT,LOCAL_DATE,LOCAL_TIME,ORIGTRACE,ISSUER_RP,TERMID,BB_BIN,SEQUENCE_IN_MONTH,,PAN,AMOUNT,LOCAL_DATE,LOCAL_TIME,ORIGTRACE,ISSUER_RP,TERMID,BB_BIN,SEQUENCE_IN_MONTH,
1020412499,10000,09-09-25 0:00,105921,854534,970443,11111111,970406,11272,,1020412499,10000,09-09-25 0:00,105921,854534,970443,11111111,970406,11272,0
1020412499,500000,09-09-25 0:00,102847,367217,970443,11111111,970406,11104,,1020412499,500000,09-09-25 0:00,102847,367217,970443,11111111,970406,11104,0
1020412499,1000000,09-09-25 0:00,102847,783833,970443,11111111,970406,11105,,1020412499,1000000,09-09-25 0:00,102847,783833,970443,11111111,970406,11105,0
1020412509,5000,09-09-25 0:00,94539,630317,970443,11111111,970406,10987,,1020412509,5000,09-09-25 0:00,94539,630317,970443,11111111,970406,10987,0
1020412509,5000,09-09-25 0:00,101928,777245,970443,11111111,970406,11068,,1020412509,5000,09-09-25 0:00,101928,777245,970443,11111111,970406,11068,0
1020412509,5000,09-09-25 0:00,105928,351315,970443,11111111,970406,11273,,1020412509,5000,09-09-25 0:00,105928,351315,970443,11111111,970406,11273,0
1020412509,10000,09-09-25 0:00,94540,849080,970443,11111111,970406,10988,,1020412509,10000,09-09-25 0:00,94540,849080,970443,11111111,970406,10988,0
1020412509,10000,09-09-25 0:00,101928,494999,970443,11111111,970406,11067,,1020412509,10000,09-09-25 0:00,101928,494999,970443,11111111,970406,11067,0
1020412509,10000,09-09-25 0:00,105929,70587,970443,11111111,970406,11274,,1020412509,10000,09-09-25 0:00,105929,70587,970443,11111111,970406,11274,0
1020412509,500000,09-09-25 0:00,102855,71084,970443,11111111,970406,11106,,1020412509,500000,09-09-25 0:00,102855,71084,970443,11111111,970406,11106,0
1020412509,1000000,09-09-25 0:00,102856,730229,970443,11111111,970406,11107,,1020412509,1000000,09-09-25 0:00,102856,730229,970443,11111111,970406,11107,0
